bucket,count,mean_ppl,std_ppl,min_ppl,max_ppl
0-100,24,30.641236107868746,1.5686696013436183,27.810867669455344,34.983994048243986
100-200,37,31.46163096206193,1.372489017960467,27.99436064018688,34.01063545943287
200-300,39,31.455253036817094,1.1904014305998707,29.25583571875557,33.82947909022202
300-400,0,,,,
>400,0,,,,
all,100,31.262248806210074,1.3869460594818037,27.810867669455344,34.983994048243986
